env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
mamujoco,HalfCheetah-6x1,mappo,traitor,default,16139.954947261234,-8774.546126853647,,,-1.5436536939245042,0.0,0.0,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,entropy_coef_0.0001,15871.894004592823,-7471.068739050049,,,-1.4707105993076919,-0.016608531036444947,0.0807609062145978,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,entropy_coef_0.001,15627.8017088115,-7540.1599071042565,,,-1.4824837202056929,-0.03173201165203014,0.07648015275029328,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,entropy_coef_0.1,16003.530423944738,-9749.615472002091,,,-1.6092165424583167,-0.008452596290527208,-0.0604133870469014,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,entropy_coef_0.5,15348.51638112698,-7939.055563833818,,,-1.517252310692122,-0.04903598360220658,0.0517653590576845,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,entropy_coef_1.0,15341.683642074593,-6952.751333553863,,,-1.453193501819183,-0.04945932673263743,0.11287483758490427,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,gamma_0.95,6932.842021818779,-4911.057253003435,,,-1.7083757624286753,-0.5704546856250549,0.2393742043564875,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,gamma_1.0,13707.334821983504,-4062.286056426318,,,-1.296358563439431,-0.15072037891224213,0.2919624054605522,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,hidden_sizes_64_64,14950.632442105956,-5988.960312687237,,,-1.4005824058533023,-0.07368809324694506,0.17258944174680563,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,hidden_sizes_256_256,15854.507199301563,-6590.627610857499,,,-1.4156942582957002,-0.017685783441923977,0.1353113142590732,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,activation_func_leaky_relu,16664.67967891946,-8063.148620378806,,,-1.483846601058798,0.0325109167511812,0.04407679629834141,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,activation_func_selu,12352.546551827914,-6565.665698968636,,,-1.5315232508066976,-0.23466040690999573,0.13685790543423004,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,activation_func_sigmoid,14201.218755077769,-6670.213172158447,,,-1.4696930092548186,-0.1201202976413789,0.13038034874144933,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,activation_func_tanh,13871.559089482807,-8144.703231947908,,,-1.587151248061445,-0.14054536491524394,0.03902383228229623,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,initialization_method_xavier_uniform_,17100.41006266964,-6252.493072731653,,,-1.3656341017447824,0.059507917992756586,0.15626146803773808,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,use_recurrent_policy_True,12099.009311106665,-3090.896157134019,,,-1.255466879779705,-0.2503690778170525,0.3521478212480438,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,use_feature_normalization_False,19510.06852746537,1904.6489440257296,,,-0.9023761017884457,0.2088056373897131,0.6616620124265907,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,lr_5e-05,13909.691761120977,-6648.680094522236,,,-1.4779890315834303,-0.13818273925967228,0.13171449606135033,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,lr_5e-05,9199.22430312967,-5865.872638897125,,,-1.6376486153187388,-0.43003407796434573,0.18021571295960095,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,lr_0.005,19729.0010689233,-2450.435208188578,,,-1.1242047278333038,0.22237026890035305,0.3918295273642135,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,critic_lr_5e-05,5754.5493967972025,-2812.841491273148,,,-1.4888030838415751,-0.6434593890998633,0.3693755438017584,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,critic_lr_5e-05,6597.800424613307,-4106.931022231522,,,-1.62246972595753,-0.5912132068415175,0.289196290812086,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,critic_lr_0.005,13290.390175495073,-7608.539127710704,,,-1.5724842557097676,-0.17655345266311911,0.07224351015557214,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,critic_lr_0.005,16485.990287707147,-9231.444086746498,,,-1.5599569043559347,0.021439672017463166,-0.028308502804735597,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,use_gae_False,12585.944524757855,-4868.382500022106,,,-1.3868110566072727,-0.22019952559449085,0.24201824847685666,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,use_popart_False,6509.153784034412,-4654.629476785086,,,-1.7150897998756638,-0.5967055790859602,0.25526196718211186,,,
mamujoco,HalfCheetah-6x1,mappo,traitor,share_param_False,24389.46955248424,6826.291925882532,,,-0.7201131450935051,0.5111237690674504,0.9665973730232416,,,
