env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,mappo,traitor,default,28.74348591549296,13.386971830985917,1.0,0.05,-0.534260671431984,0.0,0.0,-0.95,0.0,-0.95
smac,2s3z,mappo,traitor,entropy_coef_0.0001,28.732394366197187,11.543133802816897,1.0,0.0,-0.5982536764705885,-0.00038588045056133175,-0.06414803109093939,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,entropy_coef_0.001,28.395598591549298,11.420950704225355,0.95,0.0,-0.5977915145051987,-0.012103170957289808,-0.06839884113363097,-0.95,-0.050000000000000044,-1.0
smac,2s3z,mappo,traitor,entropy_coef_0.1,26.848239436619714,16.677640845070428,0.7,0.0,-0.37881808286010277,-0.06593655635385876,0.11448399208638833,-0.7,-0.30000000000000004,-1.0
smac,2s3z,mappo,traitor,entropy_coef_0.5,23.00633802816901,13.383978873239435,0.35,0.0,-0.41824818635403593,-0.19959819432449502,-0.00010412647078650883,-0.35,-0.65,-1.0
smac,2s3z,mappo,traitor,entropy_coef_1.0,23.471302816901417,13.362676056338028,0.5,0.0,-0.43068025833164586,-0.18342184083350158,-0.0008452619393249632,-0.5,-0.5,-1.0
smac,2s3z,mappo,traitor,gamma_0.95,27.00281690140844,14.50915492957747,0.8,0.0,-0.4626799499269765,-0.06055873039206726,0.0390413014583832,-0.8,-0.19999999999999996,-1.0
smac,2s3z,mappo,traitor,gamma_1.0,,,,,,,,,,
smac,2s3z,mappo,traitor,hidden_sizes_64_64,28.732394366197187,14.025704225352115,1.0,0.0,-0.5118504901960784,-0.00038588045056133175,0.02222181388312111,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,hidden_sizes_256_256,28.423943661971833,12.480633802816898,0.95,0.0,-0.560911253158912,-0.011117032028077433,-0.031531945388728784,-0.95,-0.050000000000000044,-1.0
smac,2s3z,mappo,traitor,activation_func_leaky_relu,28.26478873239437,13.395070422535209,0.95,0.0,-0.5260863065577039,-0.016654110239307168,0.00028175397977482294,-0.95,-0.050000000000000044,-1.0
smac,2s3z,mappo,traitor,activation_func_selu,28.73609154929578,12.788380281690138,1.0,0.0,-0.5549714803854898,-0.0002572536337075545,-0.020825294157280134,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,activation_func_sigmoid,28.732394366197187,15.148591549295775,1.0,0.0,-0.4727696078431373,-0.00038588045056133175,0.06128761568757152,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,activation_func_tanh,28.732394366197187,11.844542253521132,1.0,0.0,-0.5877634803921569,-0.00038588045056133175,-0.053661882974096894,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,initialization_method_xavier_uniform_,28.422535211267608,13.381338028169013,0.95,0.0,-0.5291997026759168,-0.011166032720212217,-0.00019600276853919802,-0.95,-0.050000000000000044,-1.0
smac,2s3z,mappo,traitor,use_recurrent_policy_True,28.303697183098592,13.646478873239433,0.95,0.0,-0.5178552545641154,-0.015300466119084035,0.009028377525832356,-0.95,-0.050000000000000044,-1.0
smac,2s3z,mappo,traitor,use_feature_normalization_False,28.732394366197187,13.725880281690143,1.0,0.0,-0.5222855392156862,-0.00038588045056133175,0.01179079154493059,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,lr_5e-05,28.732394366197187,11.649119718309853,1.0,0.0,-0.5945649509803925,-0.00038588045056133175,-0.060460729007797503,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,lr_0.005,,,,,,,,,,
smac,2s3z,mappo,traitor,critic_lr_5e-05,26.867781690140852,11.452816901408456,0.9,0.0,-0.5737341834361013,-0.06525667175048835,-0.06729020047408157,-0.9,-0.09999999999999998,-1.0
smac,2s3z,mappo,traitor,critic_lr_0.005,28.7387323943662,13.161267605633798,1.0,0.0,-0.5420372956945774,-0.0001653773359549271,-0.007852360914598157,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,use_gae_False,27.778697183098593,13.252816901408455,0.9,0.0,-0.5229143824112863,-0.033565474112321886,-0.004667315925837378,-0.9,-0.09999999999999998,-1.0
smac,2s3z,mappo,traitor,use_popart_False,28.8367957746479,12.949119718309852,1.0,0.0,-0.5509515058641095,0.003246295853929258,-0.015233090167398924,-1.0,0.0,-1.0
smac,2s3z,mappo,traitor,share_param_False,28.733802816901413,14.820774647887323,1.0,0.0,-0.4842042056761925,-0.0003368797584265477,0.04988270459320226,-1.0,0.0,-1.0
