env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,qmix,iterative_perturbation,default,27.489964788732394,16.798943661971833,0.85,0.1,-0.38890632305002454,0.0,0.0,-0.75,0.0,-0.75
smac,2s3z,qmix,iterative_perturbation,epsilon_anneal_time_50000,27.489964788732394,16.798943661971833,0.85,0.1,-0.38890632305002454,0.0,0.0,-0.75,0.0,-0.75
smac,2s3z,qmix,iterative_perturbation,epsilon_anneal_time_200000,27.760563380281692,19.390669014084505,0.85,0.2,-0.30150304414003054,0.009843540856778807,0.09427896223333723,-0.6499999999999999,0.0,-0.6499999999999999
smac,2s3z,qmix,iterative_perturbation,epsilon_finish_0.01,24.369190140845067,12.614520456069753,0.65,0.05,-0.4823578303931149,-0.11352414133198425,-0.15221639016493738,-0.6,-0.19999999999999996,-0.7999999999999999
smac,2s3z,qmix,iterative_perturbation,epsilon_finish_0.1,27.037852112676056,20.088028169014088,0.8,0.25,-0.257040533941071,-0.016446462537545697,0.1196467340835004,-0.55,-0.04999999999999993,-0.6
smac,2s3z,qmix,iterative_perturbation,eps_delta_l,19.475176056338032,15.150352112676055,0.0,0.05,-0.2220685415706165,-0.2915532556694823,-0.059970667913387225,0.05,-0.85,-0.7999999999999999
smac,2s3z,qmix,iterative_perturbation,eps_delta_r,27.10088028169014,16.30968309859155,0.8,0.05,-0.39818622387662167,-0.014153692448588745,-0.017797787925171258,-0.75,-0.04999999999999993,-0.7999999999999999
smac,2s3z,qmix,iterative_perturbation,gamma_0.95,26.554577464788736,12.891549295774643,0.75,0.0,-0.5145262878737654,-0.03402650134812305,-0.14213893674388245,-0.75,-0.09999999999999998,-0.85
smac,2s3z,qmix,iterative_perturbation,gamma_1.0,23.27781690140845,13.203697183098592,0.5,0.0,-0.43277768533785105,-0.15322492843098956,-0.13078396085639452,-0.5,-0.35,-0.85
smac,2s3z,qmix,iterative_perturbation,hidden_sizes_64_64,28.763556338028156,12.595774647887326,1.0,0.0,-0.5620925834113734,0.046329326322665315,-0.15289830475909902,-1.0,0.15000000000000002,-0.85
smac,2s3z,qmix,iterative_perturbation,hidden_sizes_256_256,25.500880281690144,13.960035211267607,0.65,0.0,-0.452566536642618,-0.072356749902333,-0.10327071978891147,-0.65,-0.19999999999999996,-0.85
smac,2s3z,qmix,iterative_perturbation,activation_func_leaky_relu,8.649471830985915,7.24419014084507,0.0,0.0,-0.16247023143153733,-0.6853589337978647,-0.3475724175915668,0.0,-0.85,-0.85
smac,2s3z,qmix,iterative_perturbation,activation_func_selu,24.26813380281691,18.06179577464789,0.6,0.15,-0.2557402261993718,-0.11720025873718294,0.04593865879354186,-0.44999999999999996,-0.25,-0.7
smac,2s3z,qmix,iterative_perturbation,activation_func_sigmoid,27.254753521126755,15.98943661971831,0.85,0.15,-0.4133340223633297,-0.008556259326386885,-0.029447365555932782,-0.7,0.0,-0.7
smac,2s3z,qmix,iterative_perturbation,activation_func_tanh,25.782218309859157,14.929929577464781,0.7,0.05,-0.4209214506668127,-0.06212254151643034,-0.0679889588390133,-0.6499999999999999,-0.15000000000000002,-0.7999999999999999
smac,2s3z,qmix,iterative_perturbation,initialization_method_xavier_uniform_,27.986267605633802,12.770422535211264,0.95,0.0,-0.5436896868433967,0.018053963354104904,-0.14654515412154268,-0.95,0.09999999999999998,-0.85
smac,2s3z,qmix,iterative_perturbation,use_recurrent_policy_True,4.617605633802816,5.486443661971832,0.0,0.0,0.18815769406740948,-0.8320257712481507,-0.4115138046534267,0.0,-0.85,-0.85
smac,2s3z,qmix,iterative_perturbation,use_feature_normalization_False,28.43503521126761,15.29278169014085,0.95,0.05,-0.4621852381571533,0.03437874256290729,-0.0547895198632022,-0.8999999999999999,0.09999999999999998,-0.7999999999999999
smac,2s3z,qmix,iterative_perturbation,lr_5e-05,25.30140845070423,14.349295774647885,0.6,0.0,-0.43286573146292606,-0.07961291892688094,-0.08911062295459948,-0.6,-0.25,-0.85
smac,2s3z,qmix,iterative_perturbation,lr_0.005,27.489964788732394,16.798943661971833,0.85,0.1,-0.38890632305002454,0.0,0.0,-0.75,0.0,-0.75
smac,2s3z,qmix,iterative_perturbation,n_step_5,27.600352112676045,17.263732394366198,0.85,0.1,-0.3745104292913182,0.004015549848535904,0.016907578309626362,-0.75,0.0,-0.75
smac,2s3z,qmix,iterative_perturbation,n_step_50,17.031338028169017,12.6125,0.0,0.0,-0.2594533688932995,-0.38045253389521133,-0.15228988811538147,0.0,-0.85,-0.85
smac,2s3z,qmix,iterative_perturbation,share_param_False,25.211971830985913,19.337323943661968,0.65,0.15,-0.23301025111030427,-0.08286634687433961,0.09233843335916413,-0.5,-0.19999999999999996,-0.7
