env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,3m,mappo,random_policy,default,20.0,4.81917808219178,1.0,0.05,-0.759041095890411,0.0,0.0,-0.95,0.0,-0.95
smac,3m,mappo,random_policy,entropy_coef_0.0001,19.416438356164385,4.049315068493152,0.95,0.05,-0.7914491322139128,-0.029178082191780773,-0.0384931506849314,-0.8999999999999999,-0.050000000000000044,-0.95
smac,3m,mappo,random_policy,entropy_coef_0.001,15.8,2.5440313111545994,0.65,0.0,-0.8389853600535063,-0.20999999999999996,-0.11375733855185902,-0.65,-0.35,-1.0
smac,3m,mappo,random_policy,entropy_coef_0.1,18.8,1.9561643835616436,0.9,0.0,-0.8959487030020403,-0.05999999999999996,-0.1431506849315068,-0.9,-0.09999999999999998,-1.0
smac,3m,mappo,random_policy,entropy_coef_0.5,18.731506849315068,3.4986301369863004,0.9,0.0,-0.8132221734678954,-0.06342465753424661,-0.06602739726027396,-0.9,-0.09999999999999998,-1.0
smac,3m,mappo,random_policy,entropy_coef_1.0,15.465753424657532,3.3342465753424646,0.65,0.0,-0.7844109831709477,-0.2267123287671234,-0.07424657534246575,-0.65,-0.35,-1.0
smac,3m,mappo,random_policy,gamma_0.95,20.0,3.0311332503113326,1.0,0.0,-0.8484433374844335,0.0,-0.08940224159402235,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,gamma_1.0,,,,,,,,,,
smac,3m,mappo,random_policy,hidden_sizes_64_64,20.0,2.5506849315068494,1.0,0.0,-0.8724657534246575,0.0,-0.1134246575342465,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,hidden_sizes_256_256,20.0,2.7013698630136984,1.0,0.0,-0.8649315068493151,0.0,-0.10589041095890406,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,activation_func_leaky_relu,20.0,7.945205479452055,1.0,0.15,-0.6027397260273972,0.0,0.15630136986301374,-0.85,0.0,-0.85
smac,3m,mappo,random_policy,activation_func_selu,20.0,3.304109589041096,1.0,0.0,-0.8347945205479451,0.0,-0.07575342465753418,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,activation_func_sigmoid,20.0,5.663013698630136,1.0,0.1,-0.7168493150684931,0.0,0.04219178082191784,-0.9,0.0,-0.9
smac,3m,mappo,random_policy,activation_func_tanh,19.416438356164385,5.049315068493149,0.95,0.05,-0.739946380697051,-0.029178082191780773,0.011506849315068467,-0.8999999999999999,-0.050000000000000044,-0.95
smac,3m,mappo,random_policy,initialization_method_xavier_uniform_,20.0,7.254794520547945,1.0,0.05,-0.6372602739726028,0.0,0.12178082191780826,-0.95,0.0,-0.95
smac,3m,mappo,random_policy,use_recurrent_policy_True,20.0,2.1123287671232878,1.0,0.0,-0.8943835616438356,0.0,-0.1353424657534246,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,use_feature_normalization_False,20.0,2.931506849315068,1.0,0.0,-0.8534246575342467,0.0,-0.09438356164383557,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,lr_5e-05,20.0,3.364383561643835,1.0,0.0,-0.8317808219178083,0.0,-0.07273972602739723,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,lr_0.005,19.4,2.5342465753424652,0.95,0.0,-0.8693687332297698,-0.030000000000000072,-0.11424657534246571,-0.95,-0.050000000000000044,-1.0
smac,3m,mappo,random_policy,critic_lr_5e-05,20.0,2.30658838878017,1.0,0.0,-0.8846705805609915,0.0,-0.1256294846705805,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,critic_lr_0.005,19.416438356164385,8.761643835616438,0.95,0.2,-0.5487512346550022,-0.029178082191780773,0.1971232876712329,-0.75,-0.050000000000000044,-0.8
smac,3m,mappo,random_policy,use_gae_False,20.0,2.863013698630137,1.0,0.0,-0.8568493150684932,0.0,-0.09780821917808213,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,use_popart_False,20.0,2.2082191780821914,1.0,0.0,-0.8895890410958904,0.0,-0.1305479452054794,-1.0,0.0,-1.0
smac,3m,mappo,random_policy,share_param_False,20.0,4.147945205479452,1.0,0.0,-0.7926027397260273,0.0,-0.03356164383561637,-1.0,0.0,-1.0
