env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,3m,mappo,traitor,default,19.34794520547945,1.7424657534246573,0.95,0.0,-0.9099405267629567,0.0,0.0,-0.95,0.0,-0.95
smac,3m,mappo,traitor,entropy_coef_0.0001,19.416438356164385,2.967123287671233,0.95,0.0,-0.8471849865951744,0.0035400736335316606,0.06329651656754463,-0.95,0.0,-0.95
smac,3m,mappo,traitor,entropy_coef_0.001,15.8,0.9698630136986301,0.65,0.0,-0.9386162649557829,-0.18337581421693563,-0.03993203058623618,-0.65,-0.29999999999999993,-0.95
smac,3m,mappo,traitor,entropy_coef_0.1,18.8,1.4,0.9,0.0,-0.9255319148936171,-0.02832058906825255,-0.017700368167657878,-0.9,-0.04999999999999993,-0.95
smac,3m,mappo,traitor,entropy_coef_0.5,18.731506849315068,2.8547945205479457,0.9,0.0,-0.8475939739651893,-0.03186066270178421,0.05749079580855286,-0.9,-0.04999999999999993,-0.95
smac,3m,mappo,traitor,entropy_coef_1.0,15.465753424657532,2.9287671232876704,0.65,0.0,-0.8106288751107175,-0.2006513735485699,0.06131407533276689,-0.65,-0.29999999999999993,-0.95
smac,3m,mappo,traitor,gamma_0.95,20.0,2.4575342465753427,1.0,0.0,-0.8771232876712329,0.03370150099122065,0.0369583687340697,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,gamma_1.0,,,,,,,,,,
smac,3m,mappo,traitor,hidden_sizes_64_64,20.0,2.5972602739726023,1.0,0.0,-0.8701369863013699,0.03370150099122065,0.04418011894647408,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,hidden_sizes_256_256,20.0,2.13972602739726,1.0,0.0,-0.893013698630137,0.03370150099122065,0.02053242707448315,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,activation_func_leaky_relu,20.0,1.8003913894324857,1.0,0.0,-0.9099804305283758,0.03370150099122065,0.002993890844358166,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,activation_func_selu,20.0,1.298630136986301,1.0,0.0,-0.935068493150685,0.03370150099122065,-0.02293967714528463,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,activation_func_sigmoid,20.0,1.0849315068493153,1.0,0.0,-0.9457534246575342,0.03370150099122065,-0.033984706881903116,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,activation_func_tanh,19.416438356164385,2.531506849315068,0.95,0.0,-0.8696204317764922,0.0035400736335316606,0.04078164825828375,-0.95,0.0,-0.95
smac,3m,mappo,traitor,initialization_method_xavier_uniform_,20.0,1.2986301369863011,1.0,0.0,-0.935068493150685,0.03370150099122065,-0.02293967714528462,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,use_recurrent_policy_True,20.0,2.3013698630136985,1.0,0.0,-0.8849315068493151,0.03370150099122065,0.02888700084961768,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,use_feature_normalization_False,20.0,1.6958904109589041,1.0,0.0,-0.9152054794520549,0.03370150099122065,-0.0024072500708014572,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,lr_5e-05,20.0,3.057534246575342,1.0,0.0,-0.8471232876712328,0.03370150099122065,0.06796941376380627,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,lr_0.005,19.4,2.6,0.95,0.0,-0.8659793814432989,0.0026904559614839593,0.04432172189181537,-0.95,0.0,-0.95
smac,3m,mappo,traitor,critic_lr_5e-05,20.0,1.6794520547945206,1.0,0.0,-0.9160273972602739,0.03370150099122065,-0.0032568677428490324,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,critic_lr_0.005,19.416438356164385,2.4657534246575334,0.95,0.0,-0.8730069140680118,0.0035400736335316606,0.037383177570093434,-0.95,0.0,-0.95
smac,3m,mappo,traitor,use_gae_False,20.0,2.268493150684931,1.0,0.0,-0.8865753424657534,0.03370150099122065,0.02718776550552251,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,use_popart_False,20.0,2.172602739726027,1.0,0.0,-0.8913698630136986,0.03370150099122065,0.022231662418578303,-1.0,0.050000000000000044,-0.95
smac,3m,mappo,traitor,share_param_False,20.0,0.8219178082191779,1.0,0.0,-0.958904109589041,0.03370150099122065,-0.047578589634664395,-1.0,0.050000000000000044,-0.95
