env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,mappo,random_policy,default,28.739436619718308,18.36116700201207,1.0,0.2,-0.3611159729758113,0.0,0.0,-0.8,0.0,-0.8
smac,2s3z,mappo,random_policy,entropy_coef_0.0001,28.732394366197187,22.15246478873239,1.0,0.35,-0.2290073529411767,-0.00024503798088682855,0.13191969755312072,-0.65,0.0,-0.65
smac,2s3z,mappo,random_policy,entropy_coef_0.001,28.743485915492958,24.197535211267596,1.0,0.55,-0.15815585895150802,0.0001408968390100995,0.20307872720271616,-0.44999999999999996,0.0,-0.44999999999999996
smac,2s3z,mappo,random_policy,entropy_coef_0.1,27.004049295774657,23.169349429912806,0.75,0.35,-0.14200462396807537,-0.060383484440087856,0.16730259856944488,-0.4,-0.25,-0.65
smac,2s3z,mappo,random_policy,entropy_coef_0.5,22.793133802816907,19.96038732394366,0.35,0.2,-0.12428069362375962,-0.20690394511149204,0.055645500052508144,-0.14999999999999997,-0.65,-0.8
smac,2s3z,mappo,random_policy,entropy_coef_1.0,22.94348591549296,18.20264084507042,0.5,0.05,-0.2066314198236637,-0.20167238421955389,-0.005515979976896456,-0.45,-0.5,-0.95
smac,2s3z,mappo,random_policy,gamma_0.95,26.17852112676056,16.697887323943668,0.75,0.15,-0.36215314673086985,-0.08910806174957121,-0.05787447054293388,-0.6,-0.25,-0.85
smac,2s3z,mappo,random_policy,gamma_1.0,,,,,,,,,,
smac,2s3z,mappo,random_policy,hidden_sizes_64_64,28.732394366197187,15.668678739101276,1.0,0.05,-0.4546685340802988,-0.00024503798088682855,-0.09368618802581055,-0.95,0.0,-0.95
smac,2s3z,mappo,random_policy,hidden_sizes_256_256,28.732394366197187,15.196478873239439,1.0,0.0,-0.4711029411764706,-0.00024503798088682855,-0.11011656806805041,-1.0,0.0,-1.0
smac,2s3z,mappo,random_policy,activation_func_leaky_relu,28.732394366197187,21.782696177062366,1.0,0.4,-0.2418767507002805,-0.00024503798088682855,0.119053453285259,-0.6,0.0,-0.6
smac,2s3z,mappo,random_policy,activation_func_selu,,,,,,,,,,
smac,2s3z,mappo,random_policy,activation_func_sigmoid,28.732394366197187,17.77957746478873,1.0,0.1,-0.38120098039215705,-0.00024503798088682855,-0.020236636678685218,-0.9,0.0,-0.9
smac,2s3z,mappo,random_policy,activation_func_tanh,28.732394366197187,13.424823943661972,1.0,0.0,-0.5327634803921569,-0.00024503798088682855,-0.17176199810970696,-1.0,0.0,-1.0
smac,2s3z,mappo,random_policy,initialization_method_xavier_uniform_,28.736619718309868,18.154426559356136,1.0,0.05,-0.36824766665966513,-9.801519235445947e-05,-0.007193615010326578,-0.95,0.0,-0.95
smac,2s3z,mappo,random_policy,use_recurrent_policy_True,28.271126760563384,14.913556338028167,0.95,0.0,-0.4724810063519742,-0.016295025728987823,-0.11996096895018729,-0.95,-0.050000000000000044,-1.0
smac,2s3z,mappo,random_policy,use_feature_normalization_False,28.732394366197187,19.519718309859154,1.0,0.25,-0.3206372549019609,-0.00024503798088682855,0.04031224839850182,-0.75,0.0,-0.75
smac,2s3z,mappo,random_policy,lr_5e-05,28.733802816901413,14.82746478873239,1.0,0.05,-0.4839713739522575,-0.00019603038470941342,-0.12295655826653139,-0.95,0.0,-0.95
smac,2s3z,mappo,random_policy,lr_0.005,,,,,,,,,,
smac,2s3z,mappo,random_policy,critic_lr_5e-05,28.732394366197187,14.019190140845069,1.0,0.1,-0.5120772058823531,-0.00024503798088682855,-0.15108079252284104,-0.9,0.0,-0.9
smac,2s3z,mappo,random_policy,critic_lr_0.005,28.27887323943662,18.91074709124311,0.95,0.2,-0.3312764999112159,-0.016025483950012163,0.019122855346926627,-0.75,-0.050000000000000044,-0.8
smac,2s3z,mappo,random_policy,use_gae_False,28.001584507042264,22.042781690140856,0.9,0.4,-0.2128023439317442,-0.02567385444743895,0.1281032310008056,-0.5,-0.09999999999999998,-0.6
smac,2s3z,mappo,random_policy,use_popart_False,28.29577464788732,22.102112676056336,0.95,0.45,-0.21888999502239917,-0.015437392795883428,0.13016767598977844,-0.49999999999999994,-0.050000000000000044,-0.55
smac,2s3z,mappo,random_policy,share_param_False,28.733626760563382,15.136267605633803,1.0,0.0,-0.47322112409394207,-0.00020215633423168301,-0.11221164280463466,-1.0,0.0,-1.0
