env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,qmix,adaptive_action,default,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,epsilon_anneal_time_50000,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,epsilon_anneal_time_200000,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,epsilon_finish_0.01,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,epsilon_finish_0.1,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,eps_delta_l,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,eps_delta_r,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,gamma_0.95,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,gamma_1.0,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,hidden_sizes_64_64,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,hidden_sizes_256_256,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,activation_func_leaky_relu,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,activation_func_selu,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,activation_func_sigmoid,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,activation_func_tanh,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,initialization_method_xavier_uniform_,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,use_recurrent_policy_True,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,use_feature_normalization_False,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,lr_5e-05,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,lr_0.005,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,n_step_5,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,n_step_50,,,,,,,,,,
smac,2s3z,qmix,adaptive_action,share_param_False,,,,,,,,,,
