env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,qmix,random_noise,default,27.489964788732394,26.535211267605636,0.85,0.8,-0.03473098377769087,0.0,0.0,-0.04999999999999993,0.0,-0.04999999999999993
smac,2s3z,qmix,random_noise,epsilon_anneal_time_50000,27.489964788732394,26.535211267605636,0.85,0.8,-0.03473098377769087,0.0,0.0,-0.04999999999999993,0.0,-0.04999999999999993
smac,2s3z,qmix,random_noise,epsilon_anneal_time_200000,27.760563380281692,26.069190140845077,0.85,0.7,-0.060927194317605106,0.009843540856778807,-0.016952409009689674,-0.15000000000000002,0.0,-0.15000000000000002
smac,2s3z,qmix,random_noise,epsilon_finish_0.01,24.369190140845067,25.784507042253516,0.65,0.75,0.058078126241718805,-0.11352414133198425,-0.02730830072433629,0.09999999999999998,-0.19999999999999996,-0.09999999999999998
smac,2s3z,qmix,random_noise,epsilon_finish_0.1,27.037852112676056,26.54260563380282,0.8,0.7,-0.01831678333062016,-0.016446462537545697,0.00026898420038039793,-0.10000000000000009,-0.04999999999999993,-0.15000000000000002
smac,2s3z,qmix,random_noise,eps_delta_l,19.475176056338032,19.143661971830987,0.0,0.0,-0.01702239217494297,-0.2915532556694823,-0.26888173020884704,0.0,-0.85,-0.85
smac,2s3z,qmix,random_noise,eps_delta_r,27.10088028169014,25.366373239436626,0.8,0.65,-0.06400187094385197,-0.014153692448588745,-0.0425187168172763,-0.15000000000000002,-0.04999999999999993,-0.19999999999999996
smac,2s3z,qmix,random_noise,gamma_0.95,26.554577464788736,25.054929577464776,0.75,0.6,-0.05647417622488954,-0.03402650134812305,-0.05384807516187139,-0.15000000000000002,-0.09999999999999998,-0.25
smac,2s3z,qmix,random_noise,gamma_1.0,,,,,,,,,,
smac,2s3z,qmix,random_noise,hidden_sizes_64_64,28.763556338028156,26.829577464788745,1.0,0.8,-0.06723712640090013,0.046329326322665315,0.010708132929430455,-0.19999999999999996,0.15000000000000002,-0.04999999999999993
smac,2s3z,qmix,random_noise,hidden_sizes_256_256,25.500880281690144,25.75017605633803,0.65,0.75,0.009775967413441949,-0.072356749902333,-0.028557155940387952,0.09999999999999998,-0.19999999999999996,-0.09999999999999998
smac,2s3z,qmix,random_noise,activation_func_leaky_relu,8.649471830985915,8.775528169014082,0.0,0.0,0.014573876936228925,-0.6853589337978647,-0.6460424098422601,0.0,-0.85,-0.85
smac,2s3z,qmix,random_noise,activation_func_selu,24.26813380281691,22.36073943661972,0.6,0.4,-0.07859666432100307,-0.11720025873718294,-0.15185438988619407,-0.19999999999999996,-0.25,-0.44999999999999996
smac,2s3z,qmix,random_noise,activation_func_sigmoid,27.254753521126755,26.646830985915493,0.85,0.75,-0.02230519291763273,-0.008556259326386885,0.004060380548599605,-0.09999999999999998,0.0,-0.09999999999999998
smac,2s3z,qmix,random_noise,activation_func_tanh,25.782218309859157,27.12728873239437,0.7,0.8,0.052170469056219845,-0.06212254151643034,0.02153794918760371,0.10000000000000009,-0.15000000000000002,-0.04999999999999993
smac,2s3z,qmix,random_noise,initialization_method_xavier_uniform_,27.986267605633802,27.616901408450705,0.95,0.9,-0.013198122821806439,0.018053963354104904,0.039348545884221466,-0.04999999999999993,0.09999999999999998,0.050000000000000044
smac,2s3z,qmix,random_noise,use_recurrent_policy_True,4.617605633802816,4.628345070422535,0.0,0.0,0.0023257587311272115,-0.8320257712481507,-0.7969041199413359,0.0,-0.85,-0.85
smac,2s3z,qmix,random_noise,use_feature_normalization_False,28.43503521126761,25.677464788732394,0.95,0.65,-0.09697791481694763,0.03437874256290729,-0.031202167244128876,-0.29999999999999993,0.09999999999999998,-0.19999999999999996
smac,2s3z,qmix,random_noise,lr_5e-05,25.30140845070423,24.014612676056334,0.6,0.6,-0.05085866176798073,-0.07961291892688094,-0.0916915904011069,0.0,-0.25,-0.25
smac,2s3z,qmix,random_noise,lr_0.005,27.489964788732394,26.535211267605636,0.85,0.8,-0.03473098377769087,0.0,0.0,-0.04999999999999993,0.0,-0.04999999999999993
smac,2s3z,qmix,random_noise,n_step_5,27.600352112676045,27.41742957746479,0.85,0.85,-0.006627543535114663,0.004015549848535904,0.03209237685967351,0.0,0.0,0.0
smac,2s3z,qmix,random_noise,n_step_50,,,,,,,,,,
smac,2s3z,qmix,random_noise,share_param_False,25.211971830985913,24.49849094567405,0.65,0.65,-0.02829928932551734,-0.08286634687433961,-0.07408959369662046,0.0,-0.19999999999999996,-0.19999999999999996
