env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,2s3z,qmix,traitor,default,27.699823943661976,10.514612676056338,0.9,0.0,-0.6204086821114184,0.0,0.0,-0.9,0.0,-0.9
smac,2s3z,qmix,traitor,epsilon_anneal_time_50000,27.699823943661976,10.514612676056338,0.9,0.0,-0.6204086821114184,0.0,0.0,-0.9,0.0,-0.9
smac,2s3z,qmix,traitor,epsilon_anneal_time_200000,27.702816901408454,11.482394366197182,0.9,0.0,-0.5855152778483909,0.00010804970286330194,0.03493818921409728,-0.9,0.0,-0.9
smac,2s3z,qmix,traitor,epsilon_finish_0.01,25.139964788732392,9.598423876592893,0.7,0.0,-0.618200583920672,-0.09241427527250791,-0.03307561814569146,-0.7,-0.20000000000000007,-0.9
smac,2s3z,qmix,traitor,epsilon_finish_0.1,25.728521126760562,10.88838028169014,0.7,0.0,-0.5767972738096868,-0.07116661899768029,0.013493501128165974,-0.7,-0.20000000000000007,-0.9
smac,2s3z,qmix,traitor,eps_delta_l,19.651056338028173,9.981161971830986,0.0,0.0,-0.49208013044491045,-0.29057107445895697,-0.019258270569167693,0.0,-0.9,-0.9
smac,2s3z,qmix,traitor,eps_delta_r,27.390492957746478,11.359859154929582,0.85,0.0,-0.5852626978107442,-0.011167254584167714,0.0305145072615758,-0.85,-0.050000000000000044,-0.9
smac,2s3z,qmix,traitor,gamma_0.95,,,,,,,,,,
smac,2s3z,qmix,traitor,gamma_1.0,23.431514084507043,10.430985915492961,0.55,0.0,-0.5548309051701467,-0.15409158801283893,-0.0030190358152984292,-0.55,-0.35,-0.9
smac,2s3z,qmix,traitor,hidden_sizes_64_64,28.312147887323945,8.940845070422533,0.95,0.0,-0.6842046351974033,0.022105698032859746,-0.05681507611148193,-0.95,0.04999999999999993,-0.9
smac,2s3z,qmix,traitor,hidden_sizes_256_256,24.996302816901405,8.319919517102615,0.65,0.0,-0.667153995611021,-0.09760066100994716,-0.07923130354248667,-0.65,-0.25,-0.9
smac,2s3z,qmix,traitor,activation_func_leaky_relu,8.428345070422536,4.641725352112677,0.0,0.0,-0.449272032252,-0.6957256808720246,-0.2120189404773254,0.0,-0.9,-0.9
smac,2s3z,qmix,traitor,activation_func_selu,25.62447183098591,8.640006706908116,0.75,0.0,-0.6628220568253683,-0.07492293513839925,-0.06767573588052181,-0.75,-0.15000000000000002,-0.9
smac,2s3z,qmix,traitor,activation_func_sigmoid,26.33996478873239,9.654225352112675,0.75,0.0,-0.6334761481441873,-0.04909270028919208,-0.031061111640766526,-0.75,-0.15000000000000002,-0.9
smac,2s3z,qmix,traitor,activation_func_tanh,27.06725352112677,8.8023138832998,0.75,0.0,-0.674798409952109,-0.022836622493405605,-0.06181623378686965,-0.75,-0.15000000000000002,-0.9
smac,2s3z,qmix,traitor,initialization_method_xavier_uniform_,27.6181338028169,7.666331321260898,0.85,0.0,-0.7224167506756386,-0.0029491213016813304,-0.10282669523779256,-0.85,-0.050000000000000044,-0.9
smac,2s3z,qmix,traitor,use_recurrent_policy_True,,,,,,,,,,
smac,2s3z,qmix,traitor,use_feature_normalization_False,27.885915492957746,12.051760563380284,0.9,0.0,-0.5678190817718065,0.006718149172148463,0.05549305621762492,-0.9,0.0,-0.9
smac,2s3z,qmix,traitor,lr_5e-05,24.328745198463515,8.527288732394366,0.7,0.0,-0.6494973882609898,-0.12170036719564782,-0.07174500270124255,-0.7,-0.20000000000000007,-0.9
smac,2s3z,qmix,traitor,lr_0.005,27.699823943661976,10.514612676056338,0.9,0.0,-0.6204086821114184,0.0,0.0,-0.9,0.0,-0.9
smac,2s3z,qmix,traitor,n_step_5,27.926760563380277,9.532218309859154,0.9,0.0,-0.6586708190437764,0.008192709822988871,-0.03546572599866529,-0.9,0.0,-0.9
smac,2s3z,qmix,traitor,n_step_50,,,,,,,,,,
smac,2s3z,qmix,traitor,share_param_False,25.419542253521122,10.99647887323944,0.7,0.0,-0.5674005942527858,-0.08232116185209931,0.017396002160994177,-0.7,-0.20000000000000007,-0.9
