env,scenario,algo,attack,exp_name,vanilla_reward,adv_reward,vanilla_win_rate,adv_win_rate,srr,tpr,trr,w-srr,w-tpr,w-trr
smac,3m,mappo,adaptive_action,default,,,,,,,,,,
smac,3m,mappo,adaptive_action,entropy_coef_0.0001,,,,,,,,,,
smac,3m,mappo,adaptive_action,entropy_coef_0.001,,,,,,,,,,
smac,3m,mappo,adaptive_action,entropy_coef_0.1,,,,,,,,,,
smac,3m,mappo,adaptive_action,entropy_coef_0.5,,,,,,,,,,
smac,3m,mappo,adaptive_action,entropy_coef_1.0,,,,,,,,,,
smac,3m,mappo,adaptive_action,gamma_0.95,,,,,,,,,,
smac,3m,mappo,adaptive_action,gamma_1.0,,,,,,,,,,
smac,3m,mappo,adaptive_action,hidden_sizes_64_64,,,,,,,,,,
smac,3m,mappo,adaptive_action,hidden_sizes_256_256,,,,,,,,,,
smac,3m,mappo,adaptive_action,activation_func_leaky_relu,,,,,,,,,,
smac,3m,mappo,adaptive_action,activation_func_selu,,,,,,,,,,
smac,3m,mappo,adaptive_action,activation_func_sigmoid,,,,,,,,,,
smac,3m,mappo,adaptive_action,activation_func_tanh,,,,,,,,,,
smac,3m,mappo,adaptive_action,initialization_method_xavier_uniform_,,,,,,,,,,
smac,3m,mappo,adaptive_action,use_recurrent_policy_True,,,,,,,,,,
smac,3m,mappo,adaptive_action,use_feature_normalization_False,,,,,,,,,,
smac,3m,mappo,adaptive_action,lr_5e-05,,,,,,,,,,
smac,3m,mappo,adaptive_action,lr_0.005,,,,,,,,,,
smac,3m,mappo,adaptive_action,critic_lr_5e-05,,,,,,,,,,
smac,3m,mappo,adaptive_action,critic_lr_0.005,,,,,,,,,,
smac,3m,mappo,adaptive_action,use_gae_False,,,,,,,,,,
smac,3m,mappo,adaptive_action,use_popart_False,,,,,,,,,,
smac,3m,mappo,adaptive_action,share_param_False,,,,,,,,,,
